873:Utis-2251599,Doğruluq ehtimalı=61.25
1867:Utis-1619197,Doğruluq ehtimalı=65
1940:Utis-1711693,Doğruluq ehtimalı=67.85714285714286
2550:Utis-2840230,Doğruluq ehtimalı=66.66666666666666
3107:Utis-2244633,Doğruluq ehtimalı=0
4390:Utis-1858085,Doğruluq ehtimalı=18.181818181818183
4464:Utis-2866268,Doğruluq ehtimalı=41.66666666666667
5224:Utis-1566344,Doğruluq ehtimalı=50
5993:Utis-2268862,Doğruluq ehtimalı=66.66666666666666
7760:Utis-1305942,Doğruluq ehtimalı=68.88888888888889
8383:Utis-1450107,Doğruluq ehtimalı=64.58333333333333
9522:Utis-2854996,Doğruluq ehtimalı=65
9566:Utis-2806480,Doğruluq ehtimalı=18.181818181818183
9577:Utis-2508367,Doğruluq ehtimalı=14.285714285714285
9639:Utis-2521487,Doğruluq ehtimalı=11.11111111111111
10250:Utis-2975424,Doğruluq ehtimalı=0
10624:Utis-1511065,Doğruluq ehtimalı=20
10680:Utis-1448628,Doğruluq ehtimalı=68.57142857142857
10995:Utis-1972279,Doğruluq ehtimalı=63.88888888888889
11171:Utis-2761876,Doğruluq ehtimalı=28.57142857142857
11201:Utis-2856051,Doğruluq ehtimalı=68.75
12180:Utis-1919330,Doğruluq ehtimalı=66.66666666666666
12522:Utis-2666928,Doğruluq ehtimalı=50
12661:Utis-2888045,Doğruluq ehtimalı=54.54545454545455
13030:Utis-2950189,Doğruluq ehtimalı=67.85714285714286
14924:Utis-1773669,Doğruluq ehtimalı=50
15126:Utis-3876125,Doğruluq ehtimalı=64.28571428571428
15878:Utis-2217896,Doğruluq ehtimalı=0
15920:Utis-2233693,Doğruluq ehtimalı=66.96428571428572
15960:Utis-2736233,Doğruluq ehtimalı=50
16197:Utis-2827502,Doğruluq ehtimalı=61.9047619047619
16218:Utis-2749097,Doğruluq ehtimalı=11.11111111111111
16415:Utis-1471796,Doğruluq ehtimalı=0
16709:Utis-2772365,Doğruluq ehtimalı=63.33333333333333
17111:Utis-1845821,Doğruluq ehtimalı=12.5
17760:Utis-3894388,Doğruluq ehtimalı=50
17871:Utis-3874839,Doğruluq ehtimalı=68.75
17953:Utis-3866106,Doğruluq ehtimalı=10
18200:Utis-2896311,Doğruluq ehtimalı=67.85714285714286
18453:Utis-2884629,Doğruluq ehtimalı=30.95238095238095
18818:Utis-2904997,Doğruluq ehtimalı=66.66666666666666
19946:Utis-2928021,Doğruluq ehtimalı=0
19955:Utis-2928003,Doğruluq ehtimalı=50
20028:Utis-2583756,Doğruluq ehtimalı=0
20886:Utis-2311766,Doğruluq ehtimalı=57.5
20984:Utis-1841012,Doğruluq ehtimalı=42.857142857142854
21270:Utis-1668318,Doğruluq ehtimalı=65.71428571428572
21322:Utis-2671050,Doğruluq ehtimalı=62.5
21416:Utis-2771292,Doğruluq ehtimalı=66.96428571428572
22109:Utis-2734354,Doğruluq ehtimalı=55
22938:Utis-1916299,Doğruluq ehtimalı=67.85714285714286
23503:Utis-1475312,Doğruluq ehtimalı=60
23836:Utis-2657633,Doğruluq ehtimalı=50
25273:Utis-2634595,Doğruluq ehtimalı=69.23076923076923
25522:Utis-2092345,Doğruluq ehtimalı=68.57142857142857
25680:Utis-2380977,Doğruluq ehtimalı=0
27460:Utis-2304858,Doğruluq ehtimalı=65.38461538461539
27525:Utis-2305852,Doğruluq ehtimalı=61.9047619047619
27685:Utis-2591363,Doğruluq ehtimalı=59.09090909090909
28741:Utis-2850876,Doğruluq ehtimalı=40
28933:Utis-2730839,Doğruluq ehtimalı=65.71428571428572
28950:Utis-1411467,Doğruluq ehtimalı=64.28571428571428
29018:Utis-1397148,Doğruluq ehtimalı=60.714285714285715
29082:Utis-1736589,Doğruluq ehtimalı=57.14285714285714
29517:Utis-2764576,Doğruluq ehtimalı=7.142857142857142
